Title	URL	Assignees	Status
User Conversation History	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/45	abdulmoeez1225, qiblatainf	Awaiting Review
[Tools] End Call	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/116	abdulmoeez1225, qiblatainf	Awaiting Review
Critical Action Confirmation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/49	djv03, shikharthakur2404	Awaiting Review
Stream LLM Responses	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/57	djv03, K-Vineesh	Awaiting Review
Microphone Mute interrupts Agent TTS output	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/101	1Endri	Awaiting Review
Generic Adapter for external Tools	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/66	Asadraza17	Awaiting Review
Conditional Workflow Engine	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/71		Product Backlog
LLM External Tool Execution	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/44		Product Backlog
Provider Model Dropdown	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/87	K-Vineesh	In Progress
Agent Routing Foundation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/8	abdulmoeez1225, Asadraza17, qiblatainf	Feature Archive
Agent Config not persistant through text and voice prompts	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/99	K-Vineesh	Feature Archive
Livekit - Session Limit	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/112	abdulmoeez1225, qiblatainf	Feature Archive
Voice input splits into multiple bubbles & numbers/symbols are formatted wrong	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/102	1Endri, djv03	Feature Archive
Agent/LLM Memory Safeguards	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/56	djv03, shikharthakur2404	Feature Archive
[PROD] Agent config not loaded correctly	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/100	abdulmoeez1225, Asadraza17	Feature Archive
[PROD] Grafana Backend Fix	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/103		Product Backlog
Custom Agent Routing	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/129		Product Backlog
