Title	URL	Assignees	Status	Estimated size	Real size
Component Benchmarking	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/68		Product Backlog		
Self-Hosted LLM Inference on GCP	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/160		Product Backlog		
Remove Legacy Text Processing Pipeline	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/126		Product Backlog		
Visuals & Fallback for external API Outages	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/150		Product Backlog		
Grafana OS Model Monitoring Integration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/139		Product Backlog		
Support Markdown formatting in Chat UI	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/165		Product Backlog		
ElevenLabs and Deepgram provider switching is unreliable	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/166		Product Backlog		
Transitive Workflow Dependency Resolution	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/156		Product Backlog		
Dynamic Critical Action Confirmation	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/143		Product Backlog		
SBOM Automation & Legal Notices UI	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/138		Product Backlog		
Voice detection does not terminate	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/153	1Endri, Asadraza17	In Progress	5	
Benchmarking Environment	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/86	djv03, shikharthakur2404	In Progress	8	
Investigate high API usage rate	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/151	Asadraza17, shikharthakur2404	In Progress	5	
Consistent data extraction from the conversation and showing in history	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/159	abdulmoeez1225, qiblatainf	Awaiting Review		
LLM Streaming frontend integration	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/162	K-Vineesh	Awaiting Review	3	
Greeting message not showing up in the conversation history	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/164	abdulmoeez1225, qiblatainf	Awaiting Review		3
Cloud Open Source Inference Server	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/67	abdulmoeez1225, K-Vineesh, qiblatainf	Awaiting Review	13	
Interchangeable Model Selection	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/135	Asadraza17	Feature Archive	3	5
Conditional Workflow Engine	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/71	1Endri, shikharthakur2404	Feature Archive	5	8
Provider Model Dropdown	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/87	K-Vineesh	Feature Archive	2	5
Mute Agent Output	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/107	K-Vineesh	Feature Archive	3	3
Microphone Mute interrupts Agent TTS output	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/101	1Endri	Feature Archive	3	3
Stream LLM Responses	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/57	djv03, K-Vineesh	Feature Archive	5	5
Custom Agent Routing	https://github.com/amosproj/amos2026ss04-taskorbit-conversational-agent/issues/129	abdulmoeez1225, qiblatainf	Feature Archive	5	8
